"EID","BTEID","IFHOME","BTBL","BTYEAR","BTENDYEAR"
"p158511","w100817","1","1","2010",""
"p41439","w100831","1","1","1980","2009"
"p104779","w100840","1","1","2004","2009"
"p220459","w100843","1","0.5","1988","2005"
"p131181","w100861","0","0.55","2006",""
"p46696","w100869","1","0.006","2012",""
"p5508","w100869","1","0.115","2012",""
"p210801","w100871","1","0.3","2014",""
"p193400","w100879","1","0.5","2013",""
"p133850","w100882","1","1","2008",""
"p87433","w100883","1","1","2011",""
"p22582","w100884","0","0.207","2007",""
"p125585","w100888","1","1","2014",""
"p125356","w100892","1","0.193","2011",""
"p150186","w100894","1","1","2011",""
"p163413","w100897","1","1","2012",""
"p162940","w100907","1","0.038","2004",""
"p107009","w100908","1","1","1992",""
"p130918","w100912","1","0.8","2012","2015"
"p100904","w100931","1","0.95","1994",""
"p41051","w100933","1","0.7","2014",""
"p177798","w100943","1","1","2000",""
"p186211","w100945","1","0.363","2010",""
"p186451","w100948","1","1","2006",""
"p165699","w100950","1","0.4","2012",""
"p1541","w100955","1","0.5","2014",""
"p181020","w100956","1","1","2013",""
"p112645","w100963","1","0.3","2012",""
"p163908","w100967","1","1","2014",""
"p69281","w100979","1","0.51","2009",""
"p143204","w100983","1","0.25","2004","2013"
"p174193","w100993","1","0.333","1992",""
"p161952","w100996","1","0.7","2012",""
"p172826","w101001","1","0.1","1998","2001"
"p227549","w101003","1","0.545","2014",""
"p127013","w101012","0","0.156","2012",""
"p139358","w101018","1","0.97","2007",""
"p41422","w101033","0","1","2015",""
"p144502","w101040","1","1","2012",""
"p108714","w101052","0","0.9","2007",""
"p80045","w101055","1","1","2003",""
"p67793","w101064","1","0.5","2014",""
"p9981","w101074","1","1","2005",""
"p87799","w101080","1","0.99","2015",""
"p67158","w101093","1","0.5","1993",""
"p170523","w101104","1","0.017","2012",""
"p37591","w101111","1","0.6","2012",""
"p177612","w101116","1","0.2","2013",""
"p104247","w101120","1","1","2011",""
"p159719","w101124","1","1","2010",""
"p53320","w101128","1","0.175","2013",""
"p212058","w101129","1","1","2012",""
"p226719","w101133","1","0.2","2008","2012"
"p41422","w101139","1","1","2007",""
"p198709","w101142","1","0.5","2009","2011"
"p224966","w101151","1","1","1985","1994"
"p101678","w101169","0","0.8","2002",""
"p131161","w101170","1","0.652","2015",""
"p103855","w101183","1","0.6","2009",""
"p181957","w101191","0","0.175","2009",""
"p122340","w101197","0","0.9","2012",""
"p5083","w101198","1","1","2015",""
"p201345","w101202","1","0.6","2014",""
"p17720","w101207","1","0.67","2007",""
"p110551","w101229","1","0.3","1996","1998"
"p133521","w101234","1","0.333","1995",""
"p155652","w101235","0","0.51","2015",""
"p202348","w101238","1","0.49","2000","2012"
"p182147","w101242","1","0.476","2013",""
"p81329","w101249","1","1","2004",""
"p162828","w101250","1","0.18","2010",""
"p88606","w101253","1","0.015","2004",""
"p66288","w101254","1","0.75","2012",""
"p55463","w101261","1","0","2002",""
"p61699","w101275","1","0.9","2003",""
"p133687","w101292","1","1","2009",""
"p131145","w101301","1","0.826","2014","2014"
"p86881","w101327","1","0.5","2015",""
"p83559","w101334","1","1","2000",""
"p108664","w101345","1","0.9","1996",""
"p31197","w101346","0","1","2015",""
"p139253","w101347","1","0.25","2014",""
"p164256","w101354","1","0.45","2014",""
"p134647","w101356","0","0.97","2001",""
"p86881","w101379","1","0.5","2015",""
"p102427","w101384","1","0.5","2013",""
"p7592","w101385","1","0.357","2014",""
"p143985","w101387","1","0.5","1995","2008"
"p150641","w101389","1","0.25","2014",""
"p81792","w101400","1","0.3","2013",""
"p54048","w101413","1","0.515","2013",""
"p73646","w101429","1","0.4","2005",""
"p141202","w101448","1","0.25","1998","2002"
"p215020","w101457","1","0.15","2010",""
"p162551","w101457","1","0.85","2010",""
"p138925","w101459","1","0.1","2014",""
"p197640","w101487","1","1","2008",""
"p48672","w101492","1","0.9","2004","2010"
"p92442","w101503","1","1","2008",""
"p29028","w101516","1","0.25","2015",""
"p211449","w101517","0","0.7","2004","2009"
"p62100","w101520","1","0.103","2011",""
"p27890","w101520","1","0.331","2011",""
"p116020","w101529","0","1","2015",""
"p125585","w101537","1","0.3","2013",""
"p48488","w101538","1","1","2013",""
"p9981","w101543","1","0.091","1988",""
"p179587","w101543","1","0.909","1988",""
"p227532","w101545","1","0.333","2015",""
"p205539","w101546","1","0.496","2014",""
"p17001","w101546","1","0.504","2014",""
"p71846","w101551","1","0.9","2011",""
"p190134","w101555","0","1","2014",""
"p212907","w101557","1","0.5","1994","1998"
"p100206","w101569","1","0.341","2014","2014"
"p49470","w101590","1","0.7","2001","2013"
"p81127","w101592","1","1","2006",""
"p177875","w101593","1","0.52","2013",""
"p162051","w101597","1","1","2003",""
"p186709","w101610","1","1","2011",""
"p80767","w101616","0","1","2008","2014"
"p226579","w101621","0","0.51","2014",""
"p213109","w101623","1","1","2013",""
"p195580","w101634","1","1","2014",""
"p41536","w101635","1","0.1","2015",""
"p78620","w101639","1","0.333","2002","2008"
"p80538","w101647","0","1","2013",""
"p82997","w101650","1","0.337","2013",""
"p177798","w101652","1","1","2011",""
"p100937","w101655","1","0.9","2006","2010"
"p205183","w101660","0","0.022","2005",""
"p187354","w101667","1","0.167","2005","2012"
"p39536","w101670","1","0.1","2015",""
"p47717","w101671","1","0.5","1995","2002"
"p37591","w101684","1","0.7","2011",""
"p131181","w101697","1","0.15","2006",""
"p102839","w101697","1","0.014","2006",""
"p187586","w101701","1","0.042","2007",""
"p228140","w101703","1","0.55","2003",""
"p77901","w101705","1","1","2011",""
"p139213","w101708","1","1","2015",""
"p48441","w101717","1","0.5","1993","2003"
"p198709","w101720","1","1","2012",""
"p114673","w101721","1","0.5","1988","1996"
"p177798","w101724","0","1","2013",""
"p203904","w101728","1","0.007","1996",""
"p105176","w101730","1","1","1989","2012"
"p151683","w101738","1","0.51","2011",""
"p225956","w101750","1","0.889","1994","2011"
"p97557","w101766","0","0.07","2004",""
"p161404","w101771","1","0.6","1995","1999"
"p67793","w101774","1","0.6","2014",""
"p164655","w101786","1","0.392","2011",""
"p134007","w101797","1","0.05","2000","2007"
"p7119","w101805","1","0.5","2002",""
"p31139","w101815","0","0.8","2007",""
"p161594","w101818","0","1","2008",""
"p221012","w101841","1","0.9","2003","2009"
"p54101","w101842","1","0.2","2005",""
"p64688","w101845","0","0.008","1988","2008"
"p117669","w101846","1","0.6","2005","2009"
"p12156","w101857","1","1","2003",""
"p225433","w101863","1","1","2014",""
"p202807","w101864","1","0.05","2011",""
"p141271","w101871","1","0","1993","2010"
"p110994","w101875","0","0.17","2015",""
"p101678","w101884","1","0.9","2006",""
"p195435","w101885","1","0.5","2015",""
"p48488","w101886","1","1","2012",""
"p55854","w101887","0","0.35","2015",""
"p202671","w101893","1","1","2013",""
"p152718","w101894","0","0.396","2014",""
"p85477","w101896","1","1","2008",""
"p128321","w101909","1","1","2010",""
"p178849","w101917","0","0.983","2011","2013"
"p84578","w101929","1","1","1994",""
"p32641","w101932","1","1","2013",""
"p97411","w101938","1","1","2011",""
"p175421","w101947","1","0.6","2012","2014"
"p212058","w101964","1","1","2012",""
"p20037","w101965","1","0.1","2002",""
"p7499","w101975","1","0.025","2007",""
"p178849","w101979","1","1","2014",""
"p15316","w101980","1","0.123","1992","2014"
"p66656","w101990","1","0.254","2012",""
"p59209","w101992","1","1","2004","2004"
"p17165","w101999","1","0.2","2006",""
"p193709","w102000","1","0.3","2013",""
"p62477","w102001","1","0.333","1989","2005"
"p14828","w102006","0","1","2005",""
"p139046","w102017","1","0.556","2014",""
"p152977","w102020","1","1","1998","2012"
"p16980","w102025","1","0.3","1988",""
"p177798","w102028","1","1","2007",""
"p185510","w102033","1","1","2015",""
"p79984","w102038","1","0.9","2011",""
"p206851","w102041","1","0.5","2015",""
"p228265","w102044","1","0.1","2010",""
"p136670","w102044","1","0.08","2010",""
"p12560","w102062","1","0.167","1994","2004"
"p16331","w102067","1","0.5","2009","2014"
"p32973","w102084","1","0.333","1994","2002"
"p72723","w102085","1","1","2013",""
"p213009","w102092","0","1","2005",""
"p89847","w102096","1","1","2014",""
"p120828","w102100","1","0.7","2013",""
"p90114","w102108","1","0.5","2012",""
"p195899","w102109","1","0.01","2013",""
"p24810","w102113","1","0.6","1999","2012"
"p43565","w102116","1","0.9","2015",""
"p174531","w102122","1","0.3","2011",""
"p131894","w102131","1","0.33","2007",""
"p185407","w102134","1","0.389","2015",""
"p179743","w102137","1","1","2006",""
"p65649","w102156","1","1","2012",""
"p134647","w102157","1","1","2010","2011"
"p97123","w102159","1","0.2","2000",""
"p167805","w102163","1","1","2002",""
"p100627","w102170","1","0.04","2007",""
"p17402","w102172","0","0.3","2014",""
"p155155","w102183","0","0.103","2010",""
"p54952","w102190","1","1","2008",""
"p174193","w102216","1","0.333","2000","2010"
"p3545","w102226","1","0.2","1999","2002"
"p207409","w102237","1","0.8","2009",""
"p134339","w102248","1","0.333","1996",""
"p119170","w102250","1","0.295","1998","2004"
"p56783","w102261","1","0.992","1995",""
"p133850","w102269","1","1","2010",""
"p128245","w102271","1","1","1985","2003"
"p59298","w102273","1","0.75","2000",""
"p108148","w102283","0","0.275","1997","2002"
"p39636","w102285","1","1","2013",""
"p53860","w102295","1","0.6","2009",""
"p132571","w102296","0","0.25","1999","2002"
"p208081","w102297","1","0.48","2013",""
"p101846","w102297","1","0.2","2013",""
"p198056","w102304","1","0.46","2013","2014"
"p92696","w102306","1","1","2010",""
"p62897","w102307","1","1","2014",""
"p101678","w102310","0","0.95","2002",""
"p2437","w102312","1","0.5","1990","2001"
"p14732","w102334","1","1","2013",""
"p133380","w102343","1","0.333","1988",""
"p58613","w102344","1","0.03","2003",""
"p208569","w102355","1","1","1982",""
"p53647","w102358","1","0.5","2002",""
"p225614","w102359","1","1","1994","1995"
"p124797","w102362","1","1","2012",""
"p172128","w102365","1","0.667","2004",""
"p184462","w102366","1","0.396","2007",""
"p51920","w102367","1","0.013","2014",""
"p150597","w102367","1","0.039","2014",""
"p40028","w102367","1","0.026","2014",""
"p44613","w102367","1","0.132","2014",""
"p209129","w102369","1","0.333","1997",""
"p208375","w102371","1","0.4","1993","1999"
"p186536","w102382","1","1","2015",""
"p146647","w102385","1","1","2004",""
"p191301","w102387","1","1","2006",""
"p54813","w102389","1","0.05","1995",""
"p31987","w102391","1","1","2001",""
"p115411","w102396","1","0.6","2009",""
"p210807","w102416","0","0.7","2012",""
"p105286","w102419","1","0.9","2008","2014"
"p32161","w102421","1","0.515","1988","2001"
"p77774","w102427","1","0.4","1997","2006"
"p193615","w102430","1","1","1993",""
"p209539","w102438","0","0.01","2014",""
"p103552","w102439","1","1","2011","2011"
"p212495","w102447","1","0.3","2010",""
"p168766","w102455","0","0.033","2013",""
"p41422","w102459","1","1","2010",""
"p83090","w102461","0","0.6","2001",""
"p169632","w102464","1","0.9","2015",""
"p216345","w102467","1","0.8","2013",""
"p192669","w102472","1","0.333","2000","2010"
"p187867","w102475","0","1","2000",""
"p229103","w102487","0","0.119","2013",""
"p4176","w102491","1","0.5","1993","2005"
"p13109","w102497","1","0.98","2003",""
"p176074","w102508","1","0.15","2000",""
"p215172","w102509","1","1","1987",""
"p39079","w102525","1","0.025","2013",""
"p167668","w102531","1","1","2013",""
"p122151","w102541","1","0.6","2001",""
"p82007","w102546","1","1","2007",""
"p89484","w102549","1","0.385","2010",""
"p177798","w102565","1","0.95","2000",""
"p8338","w102573","1","1","1995","2014"
"p50593","w102591","1","1","2010","2013"
"p91634","w102599","1","1","2013",""
"p119355","w102604","1","0.5","1992","2013"
"p60467","w102608","1","0.25","2013",""
"p228878","w102614","1","0.1","2010",""
"p177919","w102614","1","0.1","2010",""
"p145697","w102616","1","0.15","2015",""
"p143778","w102617","1","0.1","1987","2007"
"p186547","w102620","1","1","2012",""
"p71785","w102621","0","0.5","2011",""
"p221656","w102624","0","0.02","2015",""
"p139940","w102625","1","1","2008",""
"p176461","w102634","1","1","2013",""
"p29192","w102641","1","0.18","2014",""
"p181784","w102642","0","0.6","2005",""
"p37654","w102644","1","1","2006",""
"p36405","w102652","0","0.016","1994",""
"p203609","w102657","1","0.51","2008","2012"
"p79441","w102658","0","0.33","2014",""
"p178392","w102674","1","0.85","2013",""
"p192669","w102678","1","0.333","1989",""
"p124455","w102688","1","0.2","2004","2010"
"p190124","w102690","1","1","1993",""
"p220871","w102693","1","1","1996",""
"p163908","w102694","1","1","2014",""
"p36405","w102704","0","0.016","1996",""
"p214426","w102714","1","0.3","2010",""
"p103202","w102723","0","1","1997",""
"p131181","w102725","1","0.51","2015",""
"p195435","w102738","1","0.3","2011",""
"p142861","w102742","1","0.03","2010",""
"p7552","w102742","1","0.17","2010",""
"p11151","w102745","1","0.5","1993","2002"
"p152592","w102750","1","0.999","2007",""
"p14010","w102751","1","0.925","2011",""
"p54952","w102752","1","1","2005",""
"p67608","w102760","0","0.4","2014",""
"p210587","w102760","0","0.6","2014",""
"p10019","w102771","1","1","2014",""
"p178822","w102774","0","0.15","2012",""
"p109879","w102775","1","0","2013",""
"p191301","w102778","0","0.1","2007",""
"p221174","w102779","0","0.5","2015",""
"p136755","w102782","1","1","2007",""
"p27757","w102784","1","0.45","2011",""
"p97411","w102794","1","1","2002",""
"p26285","w102797","0","1","2015",""
"p7119","w102799","1","1","2015",""
"p187012","w102807","1","1","1982",""
"p113188","w102808","1","0.1","2005",""
"p180605","w102810","1","0.019","2012",""
"p80265","w102825","1","0.6","2006",""
"p77809","w102826","1","0.32","2012",""
"p43047","w102826","1","0.19","2012",""
"p125356","w102846","1","0.65","2011",""
"p195762","w102847","1","0.75","2012",""
"p4810","w102853","0","0.1","2006",""
"p127863","w102862","1","0.2","2015",""
"p41422","w102863","1","1","2008",""
"p212057","w102877","1","0.2","2009",""
"p138126","w102879","1","1","2012",""
"p94379","w102885","1","0.1","2014",""
"p221656","w102887","0","0.02","2014",""
"p29194","w102895","1","0.9","2013",""
"p177840","w102896","1","0.632","2014",""
"p210209","w102902","0","0.327","2005","2010"
"p224003","w102904","1","1","2010",""
"p187802","w102911","1","1","2015",""
"p62274","w102913","1","0.5","2015",""
"p148032","w102916","0","0.278","2004","2009"
"p48441","w102919","1","0.8","1992","2002"
"p58469","w102936","0","1","1993","2001"
"p225575","w102945","1","0.4","2015",""
"p46640","w102948","1","0.7","1995","2001"
"p82444","w102949","0","0.8","2004",""
"p205267","w102951","1","1","2008",""
"p19251","w102958","1","0.078","2003",""
"p139406","w102962","1","0.71","2004",""
"p103814","w102963","1","1","1993","2001"
"p176256","w102966","1","1","2004",""
"p26826","w102968","1","0.2","1997","2005"
"p175668","w102973","0","0.14","2010",""
"p140421","w102984","1","0.333","2006","2007"
"p72124","w102988","0","0.02","2015",""
"p109879","w102991","1","1","2013",""
"p99133","w102995","0","0.5","2005",""
"p200655","w102996","1","0.6","1996","2006"
"p212563","w103000","0","0.05","2003",""
"p228140","w103008","1","0.5","1986","2004"
"p196528","w103011","1","0.2","2013",""
"p124730","w103012","1","0.1","2006",""
"p227316","w103013","1","0.198","2007",""
"p224746","w103013","1","0.059","2007",""
"p94710","w103021","1","1","2013",""
"p170241","w103027","1","1","2014",""
"p62283","w103034","1","1","2015",""
"p121148","w103036","1","1","2015",""
"p214290","w103041","1","1","2010",""
"p149066","w103050","1","0.51","2013",""
"p45725","w103053","0","0.15","2005",""
"p17402","w103056","0","0.08","2014",""
"p132791","w103059","1","0.7","2010",""
"p184138","w103079","1","1","1987",""
"p151350","w103080","1","0.729","2015",""
"p224139","w103082","1","0.9","2007","2009"
"p71718","w103087","1","1","1990",""
"p102778","w103097","1","0.51","2008",""
"p22357","w103100","0","0.01","2015",""
"p39494","w103104","1","0.75","2002","2014"
"p203798","w103106","1","0.5","1987","2002"
"p41422","w103116","1","1","2012",""
"p158511","w103118","1","1","2009",""
"p80258","w103132","1","0.75","1997","2004"
"p139940","w103138","1","1","2007",""
"p220429","w103143","1","1","2014",""
"p41422","w103157","1","1","2008",""
"p220970","w103158","1","0.55","2008",""
"p133380","w103166","1","0.333","1991",""
"p139940","w103171","1","1","2008",""
"p21959","w103201","1","1","2010",""
"p90126","w103203","1","0.1","2000","2005"
"p21133","w103208","1","1","2001",""
"p127859","w103214","1","1","2015",""
"p209248","w103218","1","0.2","2014",""
"p53355","w103219","1","0.2","2007",""
"p28108","w103225","0","0.5","2015",""
"p99016","w103231","0","0.2","2009",""
"p97882","w103238","1","0.99","2007",""
"p104740","w103242","1","0.9","2005",""
"p104517","w103243","1","0.45","2015",""
"p123898","w103244","1","0.3","1995",""
"p7546","w103251","1","1","2011",""
"p36405","w103258","1","0.008","1996",""
"p27938","w103269","1","1","2010",""
"p101802","w103270","0","1","2010",""
"p58469","w103274","0","0.45","2012",""
"p86510","w103278","1","1","2012",""
"p86510","w103286","0","0.429","2005",""
"p134007","w103288","1","0.333","1990","2013"
"p159919","w103292","0","0.233","2003",""
"p192669","w103298","1","0.333","1989","2007"
"p53241","w103305","1","0.439","2011","2014"
"p209365","w103314","0","1","2009",""
"p149469","w103318","1","1","1996",""
"p109047","w103322","1","1","2010",""
"p45508","w103323","1","0.04","2014",""
"p13978","w103339","1","0.333","2015",""
"p3323","w103340","1","0.035","1994",""
"p39536","w103355","1","0.9","2013",""
"p225641","w103357","0","0.024","2002",""
"p69661","w103366","1","0.4","2003",""
"p137137","w103369","1","0.3","1999",""
"p46706","w103382","1","0.75","2001",""
"p128326","w103385","1","0.333","2005","2006"
"p13010","w103389","1","0.2","2015",""
"p174376","w103390","0","0.51","2015",""
"p160815","w103391","0","0.7","2011",""
"p190768","w103403","1","1","1993","2000"
"p85515","w103405","1","0.97","2014",""
"p168667","w103416","1","1","1997","2002"
"p203609","w103420","0","0.25","1999",""
"p63912","w103425","1","0.8","2002",""
"p204611","w103426","1","0.2","1995","2006"
"p62100","w103427","1","1","2014",""
"p13625","w103430","1","0.6","2014",""
"p1165","w103445","1","0.3","2004",""
"p198709","w103455","0","1","2011",""
"p40195","w103458","1","0.034","1999",""
"p130457","w103458","1","0.007","1999",""
"p177856","w103470","1","0.9","2013",""
"p100580","w103475","1","1","2013",""
"p154866","w103485","0","0.49","2007",""
"p123571","w103486","1","0.9","1985","2005"
"p142983","w103487","0","0.1","2014",""
"p209097","w103492","0","1","2015",""
"p164572","w103500","1","0.5","2014",""
"p127884","w103502","1","0.2","2015",""
"p22222","w103503","1","0.5","1993",""
"p41264","w103507","1","0.6","2013",""
"p64883","w103508","1","0.51","2002",""
"p21133","w103510","1","1","2001",""
"p187612","w103513","1","1","2007","2010"
"p88191","w103521","0","0.053","1992",""
"p73779","w103542","0","0.136","2015",""
"p28632","w103546","0","0.5","2014",""
"p25747","w103548","1","0.429","2013",""
"p64189","w103549","1","1","2014",""
"p180466","w103557","1","0.9","2001",""
"p14399","w103560","1","0.036","2002",""
"p20854","w103575","1","0.6","2013",""
"p136353","w103583","1","1","2008",""
"p17402","w103589","0","1","2015",""
"p13037","w103597","1","0.25","2007","2010"
"p62936","w103603","1","0.2","1999",""
"p157064","w103604","0","0.5","2000",""
"p168667","w103609","1","1","1991","2008"
"p22000","w103621","1","1","2007",""
"p186336","w103629","1","0.333","1996",""
"p45456","w103636","1","1","2012",""
"p20848","w103641","0","1","2013",""
"p21133","w103651","1","1","2011",""
"p212563","w103657","0","0.03","2013",""
"p209906","w103663","1","0.749","1996","2002"
"p198447","w103667","1","1","2003",""
"p219311","w103671","1","1","2003",""
"p167079","w103672","1","0.05","2012",""
"p180866","w103683","1","0.997","2007",""
"p17402","w103690","0","0.25","2015",""
"p132807","w103691","1","1","1994","2004"
"p197320","w103695","1","1","2014",""
"p27938","w103706","1","1","2006",""
"p172146","w103708","1","0.038","1988",""
"p195078","w103711","1","0.5","1994","2012"
"p97882","w103713","1","0.99","2014",""
"p188960","w103715","0","0.2","2012",""
"p42952","w103718","1","0.25","2014",""
"p19306","w103725","0","0.49","2010",""
"p31139","w103734","1","0.51","2014",""
"p29179","w103738","1","1","1998","2011"
"p83628","w103742","1","0.3","1997",""
"p6367","w103743","1","0.85","2011",""
"p84186","w103747","1","0.134","2011","2013"
"p100864","w103749","0","0.693","2003",""
"p83090","w103754","1","0.8","1996",""
"p208106","w103755","1","1","2015",""
"p139940","w103761","1","1","2011",""
"p197927","w103763","1","0.2","2014",""
"p54952","w103765","1","1","2005",""
"p41258","w103768","1","0.55","2011",""
"p134007","w103783","1","0.333","1989",""
"p171927","w103794","1","0.05","1995","2001"
"p106660","w103809","0","1","2014",""
"p51592","w103817","1","1","2010",""
"p150675","w103821","1","0.059","2014",""
"p186735","w103831","1","0.99","2013",""
"p212916","w103833","1","1","2005",""
"p139399","w103836","1","0.5","1993","1996"
"p139186","w103837","0","1","2013",""
"p77508","w103847","1","0.77","2012","2013"
"p178767","w103867","1","0.5","1995","2004"
"p69346","w103868","1","1","1998",""
"p143610","w103875","1","0.135","2009",""
"p123571","w103881","0","0.72","1994","2013"
"p65649","w103883","1","1","2013",""
"p81859","w103886","1","1","2013",""
"p185261","w103896","1","0.333","2001",""
"p191600","w103903","0","1","2002",""
"p185920","w103908","0","1","2011",""
"p25721","w103914","1","1","2005",""
"p1541","w103915","1","0.2","1999",""
"p12559","w103922","1","0.75","1994","2001"
"p103513","w103940","1","0.333","2002","2013"
"p155270","w103948","1","0.015","2001",""
"p159361","w103950","1","0.4","1993",""
"p62477","w103952","1","0.333","1999",""
"p116079","w103955","1","0.5","2015",""
"p228010","w103965","1","0.7","2004",""
"p225239","w103977","1","0.1","2015",""
"p213113","w103979","1","0.5","1995",""
"p94097","w103985","1","0.177","2012",""
"p195122","w103985","1","0.014","2012",""
"p43399","w103985","1","0.006","2012",""
"p226266","w104002","1","0.333","1993","2004"
"p160506","w104006","1","0.5","2015",""
"p205763","w104012","0","1","2015",""
"p226939","w104021","1","0.122","2010",""
"p182813","w104028","1","1","2013",""
"p195590","w104031","1","1","2010",""
"p152643","w104032","1","1","1989",""
"p179832","w104037","0","0.1","2003","2004"
"p198355","w104043","1","0.1","1993","1995"
"p214721","w104053","0","0.427","2009",""
"p1862","w104054","1","0.8","2012",""
"p219324","w104059","1","0.4","1999","2010"
"p132571","w104072","0","0.9","1997","2002"
"p112788","w104084","1","0.5","2014",""
"p112788","w104084","1","0.5","2014",""
"p184422","w104092","1","0","1992",""
"p88615","w104095","1","0.1","2006","2013"
"p31518","w104101","1","0.6","2007",""
"p186336","w104103","1","0.333","1990","2006"
"p229","w104104","1","0.3","2013",""
"p59370","w104114","1","0.45","2000",""
"p125748","w104118","0","1","1997",""
"p84133","w104119","1","0.05","1994",""
"p219232","w104131","1","0.016","2015",""
"p106667","w104149","1","1","2014",""
"p85233","w104157","0","1","2010",""
"p65763","w104160","0","1","2005",""
"p183641","w104164","1","0.55","2015",""
"p208375","w104169","1","0.162","1992",""
"p115181","w104175","1","0.999","2014",""
"p116917","w104183","0","0.9","2012",""
"p175726","w104186","0","0.1","1999",""
"p155621","w104187","1","0.125","2010",""
"p171554","w104203","1","1","2008","2011"
"p106727","w104204","1","0.55","2003","2004"
"p67030","w104211","1","1","1988",""
"p139940","w104221","1","1","2011",""
"p175864","w104224","1","1","2012",""
"p217882","w104225","1","0.5","2003",""
"p145697","w104226","0","0.16","2010",""
"p37735","w104229","1","0.081","2014","2015"
"p21133","w104236","1","1","2001",""
"p102965","w104238","1","0.733","2004",""
"p119265","w104239","1","0.9","2003","2009"
"p133782","w104244","0","1","2004",""
"p128321","w104253","1","1","2011",""
"p56119","w104259","1","1","2010",""
"p130693","w104262","1","0.5","2014",""
"p204055","w104268","1","1","2015",""
"p27417","w104272","1","1","2014",""
"p10798","w104275","1","0.5","2014",""
"p206935","w104279","0","0.9","2011",""
"p187867","w104280","0","1","1996",""
"p45506","w104287","1","0.9","2015",""
"p111198","w104288","1","1","1999",""
"p171554","w104290","1","0.7","2012",""
"p30551","w104302","0","0.7","2011","2013"
"p218863","w104307","1","0.3","2009","2014"
"p75238","w104323","1","0.49","2015",""
"p200379","w104325","1","0.51","2015",""
"p195017","w104329","1","0.5","2010",""
"p200990","w104330","1","0.371","2009",""
"p188642","w104332","1","0.7","2011",""
"p19361","w104333","1","1","2013",""
"p97649","w104336","1","1","2004",""
"p187012","w104340","1","1","1987",""
"p5371","w104349","0","1","2002",""
"p173282","w104354","1","1","1993",""
"p214721","w104357","0","0.18","2000",""
"p223992","w104359","0","0.35","2006",""
"p180605","w104360","0","0.029","2013",""
"p28510","w104363","0","0.01","2009",""
"p215105","w104364","1","1","2013",""
"p157094","w104366","1","1","1997",""
"p133704","w104374","1","0.7","2011",""
"p145921","w104383","1","0.4","2015",""
"p19423","w104408","1","0.9","2003",""
"p42825","w104409","1","0.5","1994","1994"
"p132058","w104411","1","0.225","2013",""
"p109133","w104414","1","0.9","2010",""
"p187590","w104421","1","0.8","1998",""
"p128002","w104428","1","0.5","1994",""
"p101967","w104433","1","0.9","2014",""
"p226856","w104436","1","1","2015","2015"
"p133380","w104441","1","0.333","1999",""
"p134007","w104451","1","0.333","1991",""
"p199123","w104455","0","0.22","2010",""
"p75800","w104458","1","0.381","2013",""
"p37275","w104460","0","1","2013",""
"p94617","w104467","1","0.2","2008",""
"p116421","w104474","1","1","2015",""
"p151767","w104478","1","0.154","2008",""
"p186336","w104486","1","0.333","1990",""
"p143506","w104499","1","0.9","2005","2014"
"p25748","w104502","0","0.803","2007",""
"p178767","w104503","1","0.5","1993","2000"
"p169727","w104508","1","1","2009",""
"p156031","w104534","1","0.52","2014",""
"p224966","w104535","1","1","1985","1995"
"p129962","w104538","0","1","2003",""
"p56330","w104544","1","0.6","2011","2013"
"p3497","w104552","1","0.1","2010",""
"p120693","w104552","1","0.9","2010",""
"p110203","w104557","1","0.35","2014",""
"p39338","w104559","0","0.51","2015",""
"p188627","w104561","1","0.028","2012",""
"p40693","w104575","1","1","2015",""
"p115411","w104584","1","0.6","2012",""
"p206851","w104590","1","1","2009",""
"p112773","w104609","1","0.7","2015",""
"p59939","w104614","1","0.5","2014",""
"p196016","w104624","1","0.2","2007",""
"p128263","w104627","1","1","2009",""
"p150006","w104633","1","0.01","2014",""
"p130133","w104636","0","1","2006","2010"
"p31465","w104644","1","0","1985","2009"
"p218390","w104646","0","0.8","2015",""
"p229304","w104659","1","0.95","2009","2013"
"p152609","w104673","0","0.8","2014",""
"p21862","w104680","1","0.99","2014",""
"p207591","w104685","1","0.15","2004","2013"
"p69281","w104687","1","1","2008",""
"p75753","w104692","1","0.446","2009",""
"p177798","w104698","1","1","1998",""
"p81015","w104716","0","1","2009",""
"p116759","w104720","0","0.49","2015",""
"p108714","w104726","0","1","2011",""
"p126590","w104730","1","0.15","2014",""
"p140807","w104738","1","0.6","2012","2012"
"p178767","w104744","1","0.329","1989",""
"p86821","w104751","1","1","2010",""
"p97411","w104753","1","1","2011",""
"p183584","w104754","0","0.935","2015",""
"p12879","w104759","0","0.1","2011",""
"p177798","w104762","0","0.5","2014",""
"p174329","w104765","1","0.5","2010",""
"p104469","w104768","1","0.891","2005","2007"
"p91533","w104769","1","0.021","2002",""
"p92632","w104773","0","0.2","2008",""
"p157094","w104775","1","1","1997",""
"p223547","w104780","0","0.9","2012",""
"p3706","w104783","0","1","2014",""
"p197640","w104792","1","1","2006",""
"p169556","w104799","1","1","2011",""
"p178767","w104809","1","1","1989","1993"
"p63761","w104812","1","0.55","2002",""
"p8413","w104827","0","1","2003",""
"p57026","w104837","1","1","2000",""
"p115928","w104842","0","0.33","1990",""
"p139940","w104844","1","1","2010",""
"p133697","w104848","1","0.5","1989","2001"
"p30767","w104849","1","0.2","2014",""
"p60467","w104850","1","1","2007",""
"p85477","w104860","1","1","2011",""
"p175371","w104871","1","0.9","2012",""
"p203573","w104878","1","1","1989",""
