EID,ADDTYPE,BEGINDATE,EXPIRYDATE
s115909,1,2011年2月,2016年2月
s116161,1,2014年2月,2019年2月
s116323,1,2015年5月,2020年5月
s116424,1,2015年5月,2020年5月
s116811,1,2012年2月,2017年2月
s116865,1,2008年5月,2013年5月
s116865,1,2014年2月,2019年2月
s117018,1,2012年5月,2017年5月
s117154,1,2011年2月,2016年2月
s117184,1,2010年2月,2015年2月
s117667,1,2009年11月,2014年11月
s117667,1,2015年2月,2020年2月
s117730,1,2012年2月,2017年2月
s117980,1,2008年8月,2013年8月
s117980,1,2014年2月,2019年2月
s118013,1,2014年2月,2019年2月
s118059,1,2011年2月,2016年2月
s118285,1,2009年11月,2014年11月
s118285,1,2015年2月,2020年2月
s118380,1,2013年5月,2018年5月
s118475,1,2009年8月,2014年8月
s118475,1,2015年5月,2020年5月
s118578,1,2010年5月,2015年5月
s118639,1,2012年5月,2017年5月
s118815,1,2012年5月,2017年5月
s119517,1,2009年2月,2014年2月
s119517,1,2015年5月,2020年5月
s119524,1,2008年2月,2010年7月
s119524,1,2011年5月,2016年5月
s119893,1,2015年5月,2020年5月
s119909,1,2013年5月,2018年5月
s119909,1,2014年2月,2019年2月
s120038,1,2012年5月,2017年5月
s12009,1,2008年2月,2013年2月
s12009,1,2014年2月,2019年2月
s120131,1,2008年2月,2013年2月
s120131,1,2014年2月,2019年2月
s121108,1,2014年2月,2019年2月
s121151,1,2010年5月,2015年5月
s121199,1,2013年5月,2018年5月
s121247,1,2012年5月,2017年5月
s121365,1,2013年5月,2018年5月
s121454,1,2008年5月,2013年5月
s1216,1,2012年2月,2017年2月
s121670,1,2009年8月,2014年8月
s121670,1,2015年5月,2020年5月
s121693,1,2014年2月,2019年2月
s121917,1,2009年5月,2014年5月
s122028,1,2009年11月,2017年2月
s122028,1,2013年5月,2017年2月
s122043,1,2008年5月,2013年5月
s122043,1,2014年2月,2019年2月
s122074,1,2013年5月,2018年5月
s122248,1,2011年2月,2016年2月
s12225,1,2015年5月,2020年5月
s122294,1,2010年2月,2015年2月
s122363,1,2012年2月,2017年2月
s122604,1,2014年2月,2019年2月
s122674,1,2014年2月,2019年2月
s122683,1,2009年8月,2014年8月
s122683,1,2015年5月,2020年5月
s122693,1,2009年11月,2014年11月
s122693,1,2015年5月,2020年5月
s122915,1,2014年2月,2019年2月
s12304,1,2012年2月,2017年2月
s123130,1,2009年11月,2014年11月
s123130,1,2015年5月,2020年5月
s123296,1,2015年5月,2020年5月
s123390,1,2011年2月,2016年2月
s123517,1,2009年11月,2014年11月
s123517,1,2013年5月,2018年5月
s123889,1,2013年5月,2018年5月
s124483,1,2008年8月,2013年8月
s124523,1,2011年2月,2016年2月
s124592,1,2014年2月,2019年2月
s124626,1,2012年5月,2017年5月
s124787,1,2008年5月,2013年5月
s125020,1,2009年8月,2014年8月
s125020,1,2015年5月,2020年5月
s125040,1,2012年5月,2017年5月
s125218,1,2010年5月,2015年5月
s125248,1,2015年5月,2020年5月
s125310,1,2012年5月,2017年5月
s125345,1,2015年5月,2020年5月
s125361,1,2014年2月,2019年2月
s125369,1,2015年5月,2020年5月
s125395,1,2014年2月,2019年2月
s125960,1,2013年2月,2018年2月
s126010,1,2011年2月,2016年2月
s126059,1,2014年2月,2019年2月
s12623,1,2008年11月,2013年11月
s12623,1,2014年2月,2019年2月
s12646,1,2012年5月,2017年5月
s126635,1,2008年2月,2013年2月
s126635,1,2014年2月,2019年2月
s126656,1,2013年5月,2018年5月
s126893,1,2011年2月,2016年2月
s126923,1,2010年2月,2015年2月
s12719,1,2014年2月,2019年2月
s127382,1,2015年5月,2020年5月
s127422,1,2012年2月,2017年2月
s12746,1,2015年5月,2020年5月
s127487,1,2010年5月,2015年5月
s127860,1,2015年5月,2020年5月
s128055,1,2008年8月,2013年8月
s128055,1,2014年2月,2019年2月
s12816,1,2013年2月,2018年2月
s128207,1,2012年2月,2017年2月
s128215,1,2014年2月,2019年2月
s128667,1,2015年5月,2020年5月
s129013,1,2015年5月,2020年5月
s129277,1,2011年2月,2017年2月
s129376,1,2012年5月,2017年5月
s129521,1,2009年8月,2014年8月
s129737,1,2009年2月,2014年2月
s129761,1,2011年2月,2016年2月
s129838,1,2009年8月,2014年8月
s129838,1,2015年5月,2020年5月
s130001,1,2009年5月,2014年5月
s130001,1,2015年5月,2020年5月
s130084,1,2014年2月,2019年2月
s130175,1,2009年11月,2014年11月
s130211,1,2009年11月,2014年11月
s130248,1,2008年5月,2013年5月
s130248,1,2014年2月,2019年2月
s130289,1,2009年5月,2014年5月
s130381,1,2010年2月,2015年2月
s130410,1,2009年11月,2014年11月
s130748,1,2012年5月,2017年5月
s130770,1,2013年5月,2018年5月
s130863,1,2012年2月,2017年2月
s130888,1,2015年5月,2020年5月
s131161,1,2012年2月,2017年2月
s131215,1,2009年11月,2014年11月
s131215,1,2015年2月,2020年2月
s131218,1,2013年5月,2018年5月
s131549,1,2011年2月,2016年2月
s131556,1,2012年2月,2017年2月
s131611,1,2011年2月,2016年2月
s131629,1,2013年2月,2018年2月
s131672,1,2008年2月,2013年2月
s131672,1,2014年2月,2019年2月
s131690,1,2009年5月,2014年5月
s131690,1,2015年5月,2020年5月
s131707,1,2014年2月,2019年2月
s131816,1,2014年2月,2019年2月
s131997,1,2012年2月,2017年2月
s132021,1,2014年2月,2019年2月
s132107,1,2014年2月,2019年2月
s132246,1,2009年5月,2014年5月
s132257,1,2014年2月,2019年2月
s132336,1,2009年11月,2014年11月
s132336,1,2015年5月,2020年5月
s132456,1,2009年11月,2014年11月
s132456,1,2015年2月,2020年2月
s132469,1,2009年11月,2014年11月
s132469,1,2015年2月,2020年2月
s132494,1,2010年5月,2015年5月
s132579,1,2014年2月,2019年2月
s132601,1,2009年11月,2014年11月
s132601,1,2015年5月,2020年5月
s132690,1,2015年5月,2020年5月
s132727,1,2014年2月,2019年2月
s132759,1,2014年2月,2019年2月
s132834,1,2009年11月,2014年11月
s132834,1,2015年2月,2020年2月
s132860,1,2011年2月,2016年2月
s132917,1,2014年2月,2019年2月
s13320,1,2015年5月,2020年5月
s133229,1,2014年2月,2019年2月
s133249,1,2008年5月,2013年5月
s133249,1,2014年2月,2019年2月
s133511,1,2008年5月,2013年5月
s133511,1,2014年2月,2019年2月
s133532,1,2009年11月,2014年11月
s133660,1,2013年5月,2018年5月
s133660,1,2014年2月,2019年2月
s133820,1,2008年5月,2013年5月
s133898,1,2015年5月,2020年5月
s134524,1,2008年8月,2013年8月
s134524,1,2014年2月,2019年2月
s134712,1,2009年11月,2014年11月
s1352,1,2010年5月,2015年5月
s135212,1,2013年2月,2018年2月
s135240,1,2014年2月,2019年2月
s135504,1,2009年5月,2014年5月
s135504,1,2015年5月,2020年5月
s135519,1,2008年2月,2013年2月
s135519,1,2014年2月,2019年2月
s135561,1,2015年5月,2020年5月
s135743,1,2015年5月,2020年5月
s135930,1,2012年5月,2017年5月
s135987,1,2014年2月,2019年2月
s136192,1,2015年2月,2020年2月
s136536,1,2009年11月,2014年11月
s136536,1,2013年5月,2018年5月
s136558,1,2013年5月,2018年5月
s136635,1,2011年2月,2016年2月
s13679,1,2008年5月,2013年5月
s137021,1,2013年2月,2018年2月
s137242,1,2015年5月,2020年5月
s137285,1,2012年5月,2017年5月
s137315,1,2009年11月,2014年11月
s137553,1,2012年5月,2017年5月
s137609,1,2011年5月,2016年5月
s137610,1,2014年2月,2019年2月
s137768,1,2014年2月,2019年2月
s13782,1,2009年5月,2014年5月
s13782,1,2015年5月,2020年5月
s137929,1,2008年8月,2013年8月
s137929,1,2014年2月,2019年2月
s138166,1,2009年11月,2014年11月
s138166,1,2015年5月,2020年5月
s138181,1,2009年11月,2014年11月
s138181,1,2015年2月,2020年2月
s138196,1,2009年11月,2014年11月
s138196,1,2015年5月,2020年5月
s138439,1,2009年11月,2014年11月
s138732,1,2008年8月,2017年2月
s138792,1,2009年11月,2014年11月
s138792,1,2015年2月,2020年2月
s138829,1,2010年2月,2015年2月
s139043,1,2009年11月,2014年11月
s139043,1,2015年5月,2020年5月
s139061,1,2010年2月,2015年2月
s139075,1,2008年8月,2013年8月
s139075,1,2014年2月,2019年2月
s139122,1,2014年2月,2019年2月
s139126,1,2013年5月,2018年5月
s139509,1,2015年2月,2020年2月
s139550,1,2008年8月,2013年8月
s139550,1,2014年2月,2019年2月
s139601,1,2014年2月,2019年2月
s139664,1,2009年11月,2014年11月
s139666,1,2011年2月,2016年2月
s139814,1,2009年11月,2014年11月
s139814,1,2015年5月,2020年5月
s140126,1,2015年5月,2020年5月
s140139,1,2009年2月,2014年2月
s140139,1,2015年5月,2020年5月
s140161,1,2010年5月,2015年5月
s14022,1,2008年8月,2013年8月
s14022,1,2014年2月,2019年2月
s140225,1,2014年2月,2019年2月
s140513,1,2011年2月,2016年2月
s140631,1,2010年5月,2015年5月
s140654,1,2010年5月,2015年5月
s140738,1,2015年5月,2020年5月
s140760,1,2008年5月,2013年5月
s140760,1,2014年2月,2019年2月
s140877,1,2008年5月,2013年5月
s140877,1,2014年2月,2019年2月
s140949,1,2009年11月,2014年11月
s140949,1,2015年5月,2020年5月
s141294,1,2010年2月,2015年2月
s141339,1,2009年11月,2014年11月
s141339,1,2013年5月,2018年5月
s141339,1,2014年2月,2019年2月
s141355,1,2010年5月,2015年5月
s141390,1,2015年5月,2020年5月
s14154,1,2013年5月,2018年5月
s141577,1,2008年5月,2013年5月
s141577,1,2014年2月,2019年2月
s141874,1,2013年5月,2018年5月
s141905,1,2015年5月,2020年5月
s141944,1,2009年11月,2014年11月
s141944,1,2015年2月,2020年2月
s142148,1,2015年5月,2020年5月
s142625,1,2015年5月,2020年5月
s14266,1,2013年5月,2018年5月
s142801,1,2015年5月,2020年5月
s142857,1,2012年5月,2017年5月
s14335,1,2009年11月,2014年11月
s14335,1,2015年2月,2020年2月
s143409,1,2012年5月,2017年5月
s14422,1,2015年5月,2020年5月
s144288,1,2011年2月,2016年2月
s144440,1,2015年5月,2020年5月
s144589,1,2009年8月,2014年8月
s144589,1,2015年2月,2020年2月
s144666,1,2012年5月,2017年5月
s144673,1,2013年5月,2018年5月
s144681,1,2011年2月,2016年2月
s144790,1,2009年11月,2014年11月
s144790,1,2015年5月,2020年5月
s144900,1,2009年11月,2014年11月
s144900,1,2015年2月,2020年2月
s144905,1,2009年11月,2014年11月
s144905,1,2015年5月,2020年5月
s145050,1,2014年2月,2019年2月
s145448,1,2009年11月,2014年11月
s145472,1,2013年5月,2018年5月
s145589,1,2010年2月,2015年2月
s145965,1,2014年2月,2019年2月
s146277,1,2010年5月,2015年5月
s146336,1,2015年5月,2020年5月
s14651,1,2015年2月,2020年2月
s146525,1,2014年2月,2019年2月
s14654,1,2011年2月,2016年2月
s14665,1,2015年5月,2020年5月
s147074,1,2014年2月,2019年2月
s147086,1,2009年11月,2014年11月
s147088,1,2015年5月,2020年5月
s147247,1,2008年8月,2013年8月
s147262,1,2008年8月,2013年8月
s147262,1,2014年2月,2019年2月
s147406,1,2013年2月,2018年2月
s147417,1,2010年2月,2015年2月
s148353,1,2009年11月,2014年11月
s148353,1,2010年5月,2015年5月
s148446,1,2011年2月,2016年2月
s148567,1,2012年5月,2017年5月
s148758,1,2012年5月,2017年5月
s148787,1,2008年8月,2013年8月
s148787,1,2014年2月,2019年2月
s149118,1,2012年2月,2017年2月
s14920,1,2011年2月,2016年2月
s149278,1,2014年2月,2019年2月
s149317,1,2012年2月,2017年2月
s149354,1,2008年5月,2013年5月
s149354,1,2014年2月,2019年2月
s149432,1,2015年5月,2020年5月
s149656,1,2013年5月,2018年5月
s14975,1,2008年2月,2013年2月
s150149,1,2011年2月,2016年2月
s150159,1,2011年2月,2016年2月
s150308,1,2009年5月,2014年5月
s150308,1,2015年2月,2020年2月
s150410,1,2008年11月,2013年11月
s150410,1,2014年2月,2019年2月
s150583,1,2009年8月,2014年8月
s150583,1,2015年5月,2020年5月
s150606,1,2008年5月,2013年5月
s150606,1,2014年2月,2019年2月
s150654,1,2010年5月,2015年5月
s150845,1,2015年5月,2020年5月
s151008,1,2009年5月,2014年5月
s151008,1,2015年5月,2020年5月
s151414,1,2009年2月,2014年2月
s151414,1,2015年5月,2020年5月
s152163,1,2013年2月,2018年2月
s152207,1,2011年2月,2016年2月
s152652,1,2008年5月,2013年5月
s152652,1,2014年2月,2019年2月
s152814,1,2015年5月,2020年5月
s152841,1,2015年5月,2020年5月
s152936,1,2015年5月,2020年5月
s152976,1,2014年2月,2019年2月
s153043,1,2013年5月,2018年5月
s153096,1,2012年5月,2017年5月
s153250,1,2008年11月,2013年11月
s153250,1,2014年2月,2019年2月
s153297,1,2011年2月,2016年2月
s153351,1,2015年5月,2020年5月
s153398,1,2009年11月,2014年11月
s153398,1,2015年5月,2020年5月
s153648,1,2013年2月,2018年2月
s153905,1,2008年5月,2013年5月
s153905,1,2014年2月,2019年2月
s153915,1,2014年5月,2019年5月
s154247,1,2015年5月,2020年5月
s154676,1,2015年5月,2020年5月
s154757,1,2008年8月,2013年8月
s154757,1,2014年2月,2019年2月
s154837,1,2010年5月,2015年5月
s155122,1,2008年8月,2013年8月
s155122,1,2014年2月,2019年2月
s155128,1,2013年5月,2018年5月
s155296,1,2009年11月,2014年11月
s155296,1,2015年5月,2020年5月
s155350,1,2008年2月,2013年2月
s155350,1,2014年2月,2019年2月
s155422,1,2015年5月,2020年5月
s155448,1,2010年5月,2015年5月
s15571,1,2013年5月,2018年5月
s15576,1,2013年5月,2018年5月
s155879,1,2012年2月,2017年2月
s156327,1,2012年5月,2017年5月
s156431,1,2008年2月,2013年2月
s156431,1,2014年2月,2019年2月
s156464,1,2009年11月,2014年11月
s156464,1,2015年5月,2020年5月
s156996,1,2014年2月,2019年2月
s157083,1,2009年11月,2014年11月
s157083,1,2015年2月,2020年2月
s157150,1,2013年5月,2018年5月
s157301,1,2015年5月,2020年5月
s157332,1,2013年5月,2018年5月
s157346,1,2012年2月,2017年2月
s157491,1,2015年5月,2020年5月
s157530,1,2013年5月,2018年5月
s15767,1,2015年5月,2020年5月
s157711,1,2015年5月,2020年5月
s15774,1,2014年2月,2019年2月
s157771,1,2008年2月,2013年2月
s157771,1,2014年2月,2019年2月
s157793,1,2008年8月,2013年8月
s157799,1,2014年2月,2019年2月
s158281,1,2010年5月,2015年5月
s158624,1,2014年2月,2019年2月
s158739,1,2009年11月,2014年11月
s158739,1,2015年5月,2020年5月
s158826,1,2012年2月,2017年2月
s158951,1,2008年8月,2013年8月
s158977,1,2011年2月,2016年2月
s159603,1,2010年2月,2015年2月
s159698,1,2012年5月,2017年5月
s159752,1,2013年5月,2018年5月
s159877,1,2009年11月,2014年11月
s159877,1,2015年5月,2020年5月
s160025,1,2013年2月,2018年2月
s160538,1,2009年11月,2014年11月
s160724,1,2015年2月,2020年2月
s160939,1,2009年11月,2014年11月
s160939,1,2015年5月,2020年5月
s161171,1,2013年2月,2018年2月
s161337,1,2009年8月,2014年8月
s161337,1,2015年5月,2020年5月
s161379,1,2009年8月,2014年8月
s161379,1,2015年5月,2020年5月
s161403,1,2013年5月,2018年5月
s161591,1,2015年5月,2020年5月
s161703,1,2009年11月,2014年11月
s161883,1,2011年2月,2016年2月
s162069,1,2011年2月,2016年2月
s162123,1,2014年2月,2019年2月
s162219,1,2010年5月,2015年5月
s162303,1,2015年5月,2020年5月
s162999,1,2009年11月,2014年11月
s163047,1,2013年2月,2018年2月
s163250,1,2011年2月,2016年2月
s163495,1,2009年2月,2014年2月
s163559,1,2008年5月,2013年5月
s163559,1,2014年2月,2019年2月
s163635,1,2012年5月,2017年5月
s164074,1,2013年2月,2018年2月
s164088,1,2015年2月,2020年2月
s164175,1,2014年2月,2019年2月
s164180,1,2008年2月,2013年2月
s164180,1,2014年2月,2019年2月
s164188,1,2015年2月,2020年2月
s164523,1,2009年5月,2014年5月
s164846,1,2008年2月,2013年2月
s164846,1,2014年2月,2019年2月
s164867,1,2013年2月,2018年2月
s164918,1,2009年5月,2014年5月
s165144,1,2011年2月,2016年2月
s165238,1,2008年11月,2013年11月
s165318,1,2012年5月,2017年5月
s165820,1,2014年2月,2019年2月
s165953,1,2013年2月,2018年2月
s165964,1,2009年11月,2014年11月
s165964,1,2015年5月,2020年5月
s166031,1,2011年2月,2016年2月
s166177,1,2008年5月,2013年5月
s166177,1,2014年2月,2019年2月
s16618,1,2008年2月,2013年2月
s16618,1,2014年2月,2019年2月
s166187,1,2009年8月,2014年8月
s166187,1,2015年5月,2020年5月
s166211,1,2012年5月,2017年5月
s166566,1,2013年2月,2018年2月
s166662,1,2008年5月,2013年5月
s166662,1,2014年2月,2019年2月
s16673,1,2008年5月,2013年5月
s166856,1,2009年11月,2014年11月
s166856,1,2015年5月,2020年5月
s166973,1,2014年2月,2019年2月
s167693,1,2015年5月,2020年5月
s168262,1,2010年2月,2015年2月
s168412,1,2010年5月,2015年5月
s168514,1,2008年8月,2013年8月
s168514,1,2014年2月,2019年2月
s168795,1,2015年5月,2020年5月
s168867,1,2015年2月,2020年2月
s169147,1,2009年11月,2014年11月
s169416,1,2011年2月,2016年2月
s169441,1,2012年5月,2017年5月
s169559,1,2014年2月,2019年2月
s169661,1,2015年5月,2020年5月
s169773,1,2009年11月,2014年11月
s169773,1,2015年2月,2020年2月
s169791,1,2015年2月,2020年2月
s169843,1,2014年2月,2019年2月
s169916,1,2011年2月,2016年2月
s169930,1,2008年8月,2013年8月
s169930,1,2014年2月,2019年2月
s170020,1,2011年2月,2016年2月
s170086,1,2015年2月,2020年2月
s170465,1,2009年2月,2014年2月
s170594,1,2008年8月,2013年8月
s170963,1,2014年2月,2019年2月
s171165,1,2013年5月,2018年5月
s171198,1,2013年5月,2018年5月
s17161,1,2011年5月,2016年5月
s171646,1,2011年2月,2016年2月
s171760,1,2008年8月,2013年8月
s171760,1,2014年2月,2019年2月
s172068,1,2012年5月,2017年5月
s172210,1,2015年5月,2020年5月
s172273,1,2011年2月,2016年2月
s172313,1,2013年2月,2018年2月
s17268,1,2015年5月,2020年5月
s172850,1,2009年11月,2014年11月
s172850,1,2015年5月,2020年5月
s17299,1,2011年2月,2016年2月
s172995,1,2014年2月,2019年2月
s173010,1,2008年8月,2013年8月
s173010,1,2014年2月,2019年2月
s173062,1,2014年2月,2019年2月
s173238,1,2014年2月,2019年2月
s173254,1,2008年2月,2013年2月
s173412,1,2011年2月,2016年2月
s173591,1,2015年5月,2020年5月
s173773,1,2013年5月,2018年5月
s173929,1,2009年11月,2014年11月
s173929,1,2015年2月,2020年2月
s173936,1,2011年2月,2016年2月
s173936,1,2012年5月,2017年5月
s174219,1,2008年5月,2013年5月
s174219,1,2014年2月,2019年2月
s174273,1,2009年11月,2014年11月
s174273,1,2015年2月,2020年2月
s174592,1,2008年11月,2013年11月
s174592,1,2014年2月,2019年2月
s174610,1,2008年5月,2013年5月
s174610,1,2014年2月,2019年2月
s174654,1,2009年11月,2014年11月
s174654,1,2015年5月,2020年5月
s174867,1,2014年2月,2019年2月
s175206,1,2013年5月,2018年5月
s175376,1,2010年5月,2015年5月
s175654,1,2008年2月,2013年2月
s175756,1,2009年5月,2014年5月
s175756,1,2015年2月,2020年2月
s17586,1,2009年11月,2014年11月
s17601,1,2011年5月,2016年5月
s176048,1,2015年5月,2020年5月
s176298,1,2010年2月,2015年2月
s176469,1,2014年2月,2019年2月
s176692,1,2013年2月,2018年2月
s176723,1,2012年2月,2017年2月
s177021,1,2010年5月,2015年5月
s177046,1,2009年11月,2014年11月
s177046,1,2015年5月,2020年5月
s177055,1,2009年11月,2014年11月
s177137,1,2012年5月,2017年5月
s177177,1,2009年11月,2014年11月
s177177,1,2015年5月,2020年5月
s177617,1,2009年11月,2014年11月
s177617,1,2015年5月,2020年5月
s177633,1,2008年8月,2013年8月
s177633,1,2014年2月,2019年2月
s17778,1,2015年2月,2020年2月
s177913,1,2015年5月,2020年5月
s178050,1,2012年2月,2017年2月
s178155,1,2009年11月,2014年11月
s178155,1,2015年5月,2020年5月
s178230,1,2008年5月,2013年5月
s178230,1,2014年2月,2019年2月
s178533,1,2015年5月,2020年5月
s179224,1,2013年2月,2018年2月
s179406,1,2014年2月,2019年2月
s179448,1,2012年5月,2017年5月
s179575,1,2012年5月,2017年5月
s17984,1,2009年11月,2014年11月
s180181,1,2008年11月,2013年11月
s180181,1,2014年2月,2019年2月
s180210,1,2010年2月,2015年2月
s180226,1,2014年2月,2019年2月
s180239,1,2009年11月,2014年11月
s180239,1,2015年5月,2020年5月
s180309,1,2014年2月,2019年2月
s180360,1,2008年2月,2013年2月
s180360,1,2014年2月,2019年2月
s180700,1,2008年5月,2013年5月
s180700,1,2014年2月,2019年2月
s180723,1,2012年2月,2017年2月
s180847,1,2012年5月,2017年5月
s180885,1,2009年5月,2014年5月
s180885,1,2015年5月,2020年5月
s181270,1,2015年2月,2020年2月
s18135,1,2015年2月,2020年2月
s181352,1,2008年8月,2013年8月
s181362,1,2012年2月,2017年2月
s181584,1,2008年8月,2013年8月
s181584,1,2014年2月,2019年2月
s181844,1,2009年11月,2014年11月
s181868,1,2015年5月,2020年5月
s182172,1,2008年8月,2013年8月
s182172,1,2014年2月,2019年2月
s182218,1,2014年2月,2019年2月
s182285,1,2009年11月,2014年11月
s182392,1,2013年2月,2018年2月
s18277,1,2014年2月,2019年2月
s182889,1,2010年2月,2015年2月
s182897,1,2009年11月,2014年11月
s18310,1,2013年5月,2018年5月
s183124,1,2009年11月,2014年11月
s183124,1,2015年5月,2020年5月
s183222,1,2011年5月,2016年5月
s183355,1,2009年11月,2014年11月
s183355,1,2015年5月,2020年5月
s183491,1,2011年2月,2016年2月
s183730,1,2009年11月,2014年11月
s183730,1,2015年2月,2020年2月
s18383,1,2010年5月,2015年5月
s184171,1,2014年2月,2019年2月
s184212,1,2014年2月,2019年2月
s184434,1,2014年2月,2019年2月
s184482,1,2012年5月,2017年5月
s184524,1,2009年11月,2014年11月
s184524,1,2015年5月,2020年5月
s184798,1,2011年2月,2016年2月
s184929,1,2015年5月,2020年5月
s185316,1,2009年11月,2014年11月
s185411,1,2008年2月,2013年2月
s185411,1,2014年2月,2019年2月
s185417,1,2013年5月,2018年5月
s185429,1,2015年5月,2020年5月
s185693,1,2008年8月,2013年8月
s185693,1,2014年2月,2019年2月
s185775,1,2009年8月,2014年8月
s185800,1,2012年2月,2017年2月
s185813,1,2012年5月,2017年5月
s186007,1,2014年2月,2019年2月
s186106,1,2008年8月,2013年8月
s186106,1,2014年2月,2019年2月
s186240,1,2008年2月,2013年2月
s186240,1,2014年2月,2019年2月
s18640,1,2008年5月,2013年5月
s186415,1,2009年5月,2014年5月
s186441,1,2011年2月,2016年2月
s186675,1,2009年11月,2014年11月
s186675,1,2015年2月,2020年2月
s186844,1,2013年2月,2018年2月
s186855,1,2013年5月,2018年5月
s18713,1,2012年5月,2017年5月
s187184,1,2015年5月,2020年5月
s187221,1,2009年2月,2014年2月
s187221,1,2015年2月,2020年2月
s187417,1,2013年5月,2018年5月
s187511,1,2013年5月,2018年5月
s187578,1,2013年5月,2018年5月
s187798,1,2014年2月,2019年2月
s187964,1,2009年11月,2014年11月
s187964,1,2015年5月,2020年5月
s187969,1,2015年2月,2020年2月
s188004,1,2012年5月,2017年5月
s188035,1,2008年5月,2013年5月
s188035,1,2014年2月,2019年2月
s188071,1,2013年5月,2018年5月
s188323,1,2015年5月,2020年5月
s188722,1,2009年2月,2014年2月
s188722,1,2015年2月,2020年2月
s188897,1,2013年5月,2018年5月
s189391,1,2014年2月,2019年2月
s189437,1,2008年5月,2013年5月
s189437,1,2014年2月,2019年2月
s189512,1,2009年11月,2014年11月
s189548,1,2008年5月,2013年5月
s189809,1,2010年5月,2015年5月
s189887,1,2014年2月,2019年2月
s189889,1,2011年2月,2016年2月
s190028,1,2010年2月,2015年2月
s19011,1,2008年2月,2013年2月
s19011,1,2014年2月,2019年2月
s190118,1,2012年2月,2017年2月
s190362,1,2014年2月,2019年2月
s190391,1,2009年11月,2014年11月
s190391,1,2015年5月,2020年5月
s190398,1,2012年5月,2017年5月
s190410,1,2015年5月,2020年5月
s190459,1,2009年5月,2014年5月
s190459,1,2015年2月,2020年2月
s190512,1,2014年2月,2019年2月
s190646,1,2010年2月,2015年2月
s19068,1,2008年5月,2013年5月
s19068,1,2014年2月,2019年2月
s190867,1,2015年5月,2020年5月
s190966,1,2009年11月,2014年11月
s190966,1,2015年5月,2020年5月
s190993,1,2015年2月,2020年2月
s191037,1,2013年2月,2018年2月
s191138,1,2009年8月,2014年8月
s191138,1,2015年5月,2020年5月
s191145,1,2015年5月,2020年5月
s191319,1,2009年11月,2014年11月
s191319,1,2015年5月,2020年5月
s191465,1,2013年5月,2018年5月
s19156,1,2015年5月,2020年5月
s19174,1,2011年5月,2016年5月
s191864,1,2011年2月,2016年2月
s191892,1,2014年2月,2019年2月
s191989,1,2011年5月,2016年5月
s192337,1,2014年2月,2019年2月
s192353,1,2009年8月,2014年8月
s192353,1,2010年2月,2015年2月
s192353,1,2012年2月,2017年2月
s192564,1,2014年2月,2019年2月
s1926,1,2008年5月,2013年5月
s1926,1,2014年2月,2019年2月
s192711,1,2015年2月,2020年2月
s192886,1,2015年5月,2020年5月
s193220,1,2014年2月,2019年2月
s193476,1,2009年11月,2014年11月
s193476,1,2015年5月,2020年5月
s193702,1,2010年5月,2015年5月
s193721,1,2008年8月,2013年8月
s193721,1,2014年2月,2019年2月
s193751,1,2009年5月,2014年5月
s193751,1,2015年5月,2020年5月
s193778,1,2015年5月,2020年5月
s193893,1,2014年2月,2019年2月
s193916,1,2014年2月,2019年2月
s194152,1,2011年2月,2016年2月
s19425,1,2008年8月,2013年8月
s194787,1,2013年5月,2018年5月
s194891,1,2011年2月,2016年2月
s195054,1,2013年5月,2018年5月
s195175,1,2013年5月,2018年5月
s195249,1,2015年5月,2020年5月
s195379,1,2010年5月,2015年5月
s195934,1,2014年2月,2019年2月
s196122,1,2013年2月,2018年2月
s19637,1,2011年2月,2016年2月
s196589,1,2014年2月,2019年2月
s196867,1,2011年2月,2016年2月
s196911,1,2009年8月,2014年8月
s197294,1,2010年5月,2015年5月
s197340,1,2009年5月,2014年5月
s197340,1,2015年5月,2020年5月
s197358,1,2012年5月,2017年5月
s197644,1,2012年2月,2017年2月
s198040,1,2012年2月,2017年2月
s198335,1,2012年2月,2017年2月
s198364,1,2014年2月,2019年2月
s198466,1,2008年2月,2013年2月
s198466,1,2014年2月,2019年2月
s19877,1,2013年5月,2018年5月
s19877,1,2014年2月,2019年2月
s198806,1,2014年2月,2019年2月
s19884,1,2013年5月,2018年5月
s198851,1,2011年2月,2016年2月
s198906,1,2012年2月,2017年2月
s19894,1,2014年2月,2019年2月
s199169,1,2009年11月,2014年11月
s199173,1,2014年2月,2019年2月
s199226,1,2012年5月,2017年5月
s199490,1,2013年5月,2018年5月
s1995,1,2014年2月,2019年2月
s199738,1,2012年5月,2017年5月
s200086,1,2015年5月,2020年5月
s200288,1,2009年11月,2014年11月
s200288,1,2015年5月,2020年5月
s200318,1,2008年2月,2013年2月
s200318,1,2014年2月,2019年2月
s200352,1,2015年5月,2020年5月
s200389,1,2010年5月,2015年5月
s200541,1,2014年2月,2019年2月
s200780,1,2014年2月,2019年2月
s200865,1,2010年5月,2015年5月
s200865,1,2011年2月,2016年2月
s200932,1,2008年2月,2013年2月
s200932,1,2014年2月,2019年2月
s201264,1,2009年11月,2014年11月
s201309,1,2015年2月,2020年2月
s201561,1,2012年2月,2017年2月
s20162,1,2010年5月,2015年5月
s201682,1,2009年11月,2014年11月
s201805,1,2009年11月,2014年11月
s201805,1,2015年2月,2020年2月
s201872,1,2015年5月,2020年5月
s201903,1,2008年2月,2013年2月
s202479,1,2015年2月,2020年2月
s202617,1,2008年5月,2013年5月
